symbol,strike_price,type,bid_price,ask_price,open_interest,volume,chance_of_profit_short,chance_of_profit_long,delta,implied_volatility,theta
AAPL,90.0,put,0.000000,0.010000,1,0,0.998144,0.001856,-0.000906,2.168965,-0.015738
AAPL,95.0,put,0.000000,0.010000,0,0,0.998105,0.001895,-0.000981,2.000465,-0.015613
AAPL,100.0,put,0.000000,0.010000,25,0,0.998055,0.001945,-0.001065,1.840233,-0.015477
AAPL,105.0,put,0.000000,0.010000,46,0,0.997993,0.002007,-0.001159,1.687453,-0.015331
AAPL,110.0,put,0.000000,0.010000,744,0,0.997917,0.002083,-0.001265,1.541295,-0.015172
AAPL,115.0,put,0.000000,0.010000,481,0,0.997824,0.002176,-0.001387,1.401132,-0.014999
AAPL,120.0,put,0.000000,0.010000,212,2,0.997710,0.002290,-0.001528,1.266319,-0.01481
AAPL,125.0,put,0.000000,0.010000,517,0,0.997571,0.002429,-0.001695,1.136359,-0.014601
AAPL,130.0,put,0.000000,0.010000,1634,0,0.997398,0.002602,-0.001895,1.010719,-0.014369
AAPL,135.0,put,0.000000,0.010000,2588,5,0.997180,0.002820,-0.002141,0.888946,-0.014108
AAPL,136.0,put,0.000000,0.010000,790,0,0.997130,0.002870,-0.002197,0.865018,-0.014052
AAPL,137.0,put,0.000000,0.010000,478,0,0.997077,0.002923,-0.002255,0.841228,-0.013994
AAPL,138.0,put,0.000000,0.010000,3193,1,0.997021,0.002979,-0.002317,0.81756,-0.013934
AAPL,139.0,put,0.000000,0.010000,2206,1,0.996962,0.003038,-0.002382,0.794015,-0.013873
AAPL,140.0,put,0.000000,0.010000,7063,947,0.996899,0.003101,-0.00245,0.770607,-0.013811
AAPL,141.0,put,0.000000,0.010000,3297,30,0.996833,0.003167,-0.002522,0.747297,-0.013745
AAPL,142.0,put,0.000000,0.010000,3408,35,0.996763,0.003237,-0.002598,0.724113,-0.013679
AAPL,143.0,put,0.000000,0.010000,5566,67,0.996689,0.003311,-0.002678,0.701041,-0.01361
AAPL,144.0,put,0.000000,0.010000,703,67,0.996610,0.003390,-0.002763,0.678076,-0.013539
AAPL,145.0,put,0.000000,0.010000,5655,225,0.996525,0.003475,-0.002853,0.655217,-0.013465
AAPL,146.0,put,0.000000,0.010000,476,125,0.996436,0.003564,-0.00295,0.632449,-0.013388
AAPL,147.0,put,0.000000,0.010000,975,104,0.996339,0.003661,-0.003052,0.609779,-0.013309
AAPL,148.0,put,0.000000,0.020000,1385,116,0.996236,0.003764,-0.003162,0.587202,-0.013227
AAPL,149.0,put,0.000000,0.010000,700,180,0.996126,0.003874,-0.003279,0.564705,-0.013142
AAPL,150.0,put,0.010000,0.020000,16740,2557,0.992986,0.007014,-0.005983,0.584857,-0.023284
AAPL,152.5,put,0.010000,0.020000,5585,269,0.992401,0.007599,-0.006606,0.525518,-0.02282
AAPL,155.0,put,0.020000,0.030000,21653,1188,0.988550,0.011450,-0.010155,0.490776,-0.031065
AAPL,157.5,put,0.020000,0.030000,6440,1958,0.987312,0.012688,-0.011469,0.429574,-0.030192
AAPL,160.0,put,0.040000,0.050000,14786,7496,0.978967,0.021033,-0.019464,0.396701,-0.043859
AAPL,162.5,put,0.060000,0.070000,9425,3660,0.969170,0.030830,-0.029259,0.350651,-0.054483
AAPL,165.0,put,0.110000,0.120000,14248,11972,0.947483,0.052517,-0.051618,0.313248,-0.077009
AAPL,167.5,put,0.240000,0.260000,14588,11134,0.900344,0.099656,-0.103777,0.28574,-0.119149
AAPL,170.0,put,0.580000,0.600000,26671,41563,0.812220,0.187780,-0.216057,0.270461,-0.181894
AAPL,172.5,put,1.280000,1.300000,11728,40119,0.699687,0.300313,-0.397395,0.257808,-0.225075
AAPL,175.0,put,2.500000,2.600000,4927,16781,0.598920,0.401080,-0.618185,0.252932,-0.212503
AAPL,177.5,put,4.300000,4.500000,681,1415,0.539372,0.460628,-0.797101,0.260817,-0.154075
AAPL,180.0,put,6.550000,7.000000,6672,1527,0.520851,0.479149,-0.861831,0.325117,-0.147611
AAPL,182.5,put,8.300000,9.250000,29,20,,,,,
AAPL,185.0,put,11.100000,12.150000,115,7,0.504064,0.495936,-0.925758,0.430607,-0.11885
AAPL,187.5,put,13.500000,14.700000,7,0,0.500117,0.499883,-0.9396,0.485397,-0.112595
AAPL,190.0,put,16.500000,17.450000,9,15,0.505334,0.494666,-0.89442,0.697429,-0.276746
AAPL,192.5,put,18.250000,19.500000,8,0,,,,,
AAPL,195.0,put,20.950000,22.250000,1,0,0.493578,0.506422,-0.953494,0.67382,-0.128831
AAPL,197.5,put,23.550000,24.650000,0,0,0.491817,0.508183,-0.956471,0.732986,-0.133274
AAPL,200.0,put,25.750000,27.050000,1,0,0.488976,0.511024,-0.992784,0.568215,0.000837
AAPL,205.0,put,31.150000,33.150000,1,0,0.491569,0.508431,-0.913149,1.163978,-0.408219
AAPL,210.0,put,35.600000,37.650000,0,0,0.484629,0.515371,-0.96273,1.030519,-0.169624
AAPL,215.0,put,40.550000,42.200000,0,0,0.484510,0.515490,-0.997219,0.756061,0.01464
AAPL,220.0,put,45.950000,47.350000,0,0,0.479666,0.520334,-0.965629,1.249823,-0.194877
AAPL,225.0,put,50.850000,52.300000,0,0,0.477536,0.522464,-0.973622,1.287298,-0.155134
AAPL,230.0,put,55.450000,57.600000,0,0,0.475797,0.524203,-0.979369,1.326218,-0.124146
AAPL,235.0,put,60.700000,62.250000,0,0,0.474500,0.525500,-0.984855,1.346846,-0.089082
AAPL,240.0,put,65.750000,67.400000,0,0,0.471603,0.528397,-0.976801,1.554655,-0.16864
AAPL,245.0,put,70.750000,72.400000,0,0,0.469775,0.530225,-0.977584,1.638854,-0.172786
AAPL,250.0,put,75.750000,77.350000,1,0,0.468347,0.531653,-0.9805,1.686242,-0.154353
ABBV,80.0,put,0.000000,0.010000,0,0,0.997831,0.002169,-0.001111,2.057065,-0.015282
ABBV,85.0,put,0.000000,0.010000,0,0,0.997765,0.002235,-0.001222,1.865302,-0.015125
ABBV,90.0,put,0.000000,0.150000,0,0,0.997681,0.002319,-0.00135,1.683933,-0.014952
ABBV,95.0,put,0.000000,2.120000,0,0,0.997573,0.002427,-0.001499,1.511709,-0.014762
ABBV,100.0,put,0.000000,0.010000,326,0,0.997436,0.002564,-0.001674,1.347525,-0.014551
ABBV,105.0,put,0.000000,0.030000,0,0,0.997263,0.002737,-0.001885,1.190444,-0.014315
ABBV,110.0,put,0.000000,0.030000,1,0,0.997041,0.002959,-0.002145,1.03964,-0.01405
ABBV,115.0,put,0.000000,0.030000,0,0,0.996749,0.003251,-0.002474,0.894307,-0.013745
ABBV,120.0,put,0.000000,0.030000,33,0,0.996356,0.003644,-0.002907,0.753684,-0.013389
ABBV,125.0,put,0.000000,0.030000,164,56,0.995799,0.004201,-0.003506,0.617027,-0.012961
ABBV,128.0,put,0.000000,0.020000,101,135,0.995339,0.004661,-0.003994,0.53658,-0.012656
ABBV,129.0,put,0.000000,0.030000,22,0,0.995156,0.004844,-0.004187,0.509968,-0.012544
ABBV,130.0,put,0.010000,0.030000,27,11,0.991195,0.008805,-0.007687,0.523442,-0.02207
ABBV,131.0,put,0.010000,0.030000,30,2,0.990815,0.009185,-0.008089,0.495227,-0.021829
ABBV,132.0,put,0.010000,0.030000,3,16,0.990393,0.009607,-0.008536,0.467066,-0.021572
ABBV,133.0,put,0.020000,0.030000,26,0,0.986189,0.013811,-0.012405,0.462862,-0.0296
ABBV,134.0,put,0.010000,0.030000,3,0,0.989385,0.010615,-0.0096,0.410867,-0.021006
ABBV,135.0,put,0.020000,0.030000,83,35,0.984661,0.015339,-0.01403,0.404267,-0.028714
ABBV,136.0,put,0.020000,0.060000,0,10,0.979804,0.020196,-0.018689,0.391079,-0.035483
ABBV,137.0,put,0.030000,0.040000,19,4,0.978488,0.021512,-0.020098,0.360732,-0.034778
ABBV,138.0,put,0.030000,0.050000,23,0,0.976941,0.023059,-0.021753,0.330291,-0.034006
ABBV,139.0,put,0.040000,0.100000,8,1,0.962943,0.037057,-0.035622,0.329856,-0.051152
ABBV,140.0,put,0.050000,0.070000,124,46,0.963834,0.036166,-0.035048,0.288473,-0.044054
ABBV,141.0,put,0.070000,0.100000,14,14,0.947875,0.052125,-0.051597,0.277038,-0.057719
ABBV,142.0,put,0.110000,0.140000,15,31,0.927309,0.072691,-0.073822,0.263032,-0.072287
ABBV,143.0,put,0.160000,0.190000,16,32,0.901852,0.098148,-0.10278,0.245409,-0.086037
ABBV,144.0,put,0.240000,0.290000,44,67,0.863136,0.136864,-0.149721,0.23235,-0.105468
ABBV,145.0,put,0.370000,0.430000,228,146,0.814216,0.185784,-0.214921,0.217861,-0.123246
ABBV,146.0,put,0.570000,0.650000,157,79,0.752637,0.247363,-0.307921,0.206169,-0.139122
ABBV,147.0,put,0.870000,0.990000,517,194,0.684877,0.315123,-0.428489,0.196519,-0.145861
ABBV,148.0,put,1.350000,1.460000,220,89,0.621186,0.378814,-0.566129,0.192378,-0.140062
ABBV,149.0,put,1.960000,2.120000,256,33,0.571541,0.428459,-0.698313,0.190529,-0.118638
ABBV,150.0,put,2.670000,2.920000,532,2,0.537958,0.462042,-0.807634,0.190361,-0.087461
ABBV,152.5,put,4.950000,5.200000,652,6,0.505469,0.494531,-0.940975,0.210691,-0.029671
ABBV,155.0,put,7.500000,7.750000,95,29,0.504162,0.495838,-0.936334,0.320046,-0.059821
ABBV,157.5,put,9.950000,10.250000,41,0,0.499199,0.500801,-0.955535,0.379112,-0.05037
ABBV,160.0,put,12.450000,12.850000,113,470,0.498262,0.501738,-0.948831,0.487667,-0.081539
ABBV,162.5,put,14.950000,15.300000,49,100,0.495229,0.504771,-0.95854,0.546533,-0.07549
ABBV,165.0,put,17.450000,17.750000,5,0,0.492540,0.507460,-0.968558,0.589736,-0.061351
ABBV,167.5,put,19.950000,20.250000,0,0,0.490784,0.509216,-0.970981,0.655394,-0.064292
ABBV,170.0,put,22.450000,22.800000,0,0,0.489485,0.510515,-0.967537,0.749197,-0.086154
ABBV,172.5,put,24.850000,25.450000,0,0,0.488027,0.511973,-0.96631,0.831728,-0.101618
ABBV,175.0,put,27.450000,27.900000,0,0,0.486639,0.513361,-0.963854,0.921621,-0.123062
ABBV,177.5,put,29.950000,30.250000,0,0,0.484769,0.515231,-0.97701,0.901588,-0.074269
ABBV,180.0,put,32.450000,32.800000,0,0,0.483429,0.516571,-0.973703,0.995358,-0.097225
ABBV,182.5,put,34.950000,35.300000,0,0,0.482076,0.517924,-0.974749,1.0535,-0.099664
ABBV,185.0,put,37.450000,37.850000,0,0,0.480728,0.519272,-0.973189,1.133096,-0.115647
ABBV,187.5,put,39.900000,40.300000,0,0,0.479673,0.520327,-0.980251,1.12718,-0.082611
ABBV,190.0,put,42.450000,42.800000,0,0,0.478274,0.521726,-0.977212,1.221105,-0.106459
ABBV,192.5,put,44.950000,45.350000,0,0,0.476951,0.523049,-0.975644,1.299442,-0.122756
ABBV,195.0,put,47.450000,47.800000,0,0,0.475915,0.524085,-0.978453,1.327753,-0.110654
ABBV,200.0,put,52.450000,52.850000,0,0,0.473469,0.526531,-0.977449,1.456944,-0.129256
ABBV,205.0,put,57.350000,58.050000,0,0,0.470813,0.529187,-0.973867,1.617688,-0.168846
ABBV,210.0,put,62.450000,62.850000,0,0,0.469179,0.530821,-0.97922,1.655166,-0.137255
ABBV,215.0,put,67.450000,68.000000,0,0,0.466238,0.533762,-0.973414,1.847905,-0.198729
ABBV,220.0,put,72.400000,72.900000,0,0,0.465207,0.534793,-0.980521,1.841772,-0.144704
ABBV,225.0,put,77.450000,77.750000,0,0,0.464296,0.535704,-0.985169,1.850585,-0.108207
ABBV,230.0,put,82.450000,82.800000,0,0,0.461871,0.538129,-0.983061,1.987359,-0.135893
ABBV,235.0,put,87.450000,87.850000,0,0,0.459721,0.540279,-0.981918,2.103085,-0.155146
ABC,80.0,put,0.000000,0.100000,0,0,0.998135,0.001865,-0.000828,2.445837,-0.015843
ABC,85.0,put,0.000000,0.100000,0,0,0.998109,0.001891,-0.000897,2.256859,-0.015727
ABC,90.0,put,0.000000,0.100000,0,0,0.998073,0.001927,-0.000973,2.078418,-0.015602
ABC,95.0,put,0.000000,0.100000,0,0,0.998025,0.001975,-0.001057,1.909321,-0.015467
ABC,100.0,put,0.000000,0.100000,0,0,0.997965,0.002035,-0.001152,1.74847,-0.015321
ABC,105.0,put,0.000000,0.100000,0,0,0.997890,0.002110,-0.001259,1.594993,-0.015162
